subject,session_changed,emotion_changed,EER
10,1,1,0.25290215588723053
11,1,1,0.21476190476190476
12,1,1,0.02385786802030455
13,1,1,0.3481848184818482
14,1,1,0.12535211267605637
15,1,1,0.41461412151067323
16,1,1,0.11822660098522166
1,1,1,0.2511811023622047
2,1,1,0.25020080321285143
3,1,1,0.25677966101694916
4,1,1,0.07549019607843135
5,1,1,0.1651195499296765
6,1,1,0.32951977401129945
7,1,1,0.5770833333333333
8,1,1,0.17032520325203254
9,1,1,0.13596127247579526
10,1,1,0.4194892473118279
11,1,1,0.2268983268983269
12,1,1,0.007317073170731729
13,1,1,0.2836707152496626
14,1,1,0.21752305665349142
15,1,1,0.23970783532536521
16,1,1,0.07536231884057971
1,1,0,0.2530938123752495
2,1,0,0.18353174603174605
